Number;2012;2013;2014;2015;2016;Sex;Residency;Catchability_max;Catchability_mean;average_mass;average_SVL
R2410;0;0;1;1;0;male;Resident;2;1,5;3,44;4,95
R2411-1;1;1;0;0;0;female;Floater;2;1,5;3,61;5,45
R2411-2;1;0;0;0;0;female;Resident;1;1;3,63;5
R2428;1;0;0;0;0;male;Resident;2;2;3,38;5,25
R2437;0;1;0;0;0;female;Resident;2;2;3,3;5,1
R2438;0;1;1;1;0;male;Resident;1;1;4,143333333;5,233333333
R2453;0;0;0;0;1;female;Floater;2;2;2,82;5
R2456;1;1;0;0;0;male;Floater;2;1,5;3,59;5
R2484;0;0;1;0;0;female;Floater;4;4;3,33;5,4
R2486;0;0;0;0;1;male;Floater;2;2;2,61;5
R248X;0;0;1;0;0;female;Floater;4;4;2,68;4,9
R24Y5;0;1;0;0;0;male;Resident;1;1;3,24;5,1
R2500;1;0;0;0;0;female;Resident;1;1;4,23;5,5
R2505;0;1;1;1;0;male;Resident;3;2;3,85;5,233333333
R2508;0;0;1;1;0;female;Floater;3;2,5;3,01;4,9
R250X;0;0;1;1;1;male;Floater;1;1;3,173333333;4,966666667
R2511;0;1;0;0;0;male;Resident;2;2;2,62;4,9
R2513;0;0;1;0;0;female;Resident;2;2;2,17;4,4
R2519;0;0;1;1;1;male;Floater;3;2,333333333;2,916666667;4,833333333
R251X;0;1;1;1;1;female;Floater;2;1,25;3,3325;5,15
R2522;0;0;0;1;1;female;Floater;3;2;3,875;5,2
R2525;0;1;1;0;0;female;Floater;3;2,5;3,636666667;5,2
R2526;0;1;1;1;0;female;Floater;3;1,666666667;3,213333333;5
R2527;0;1;1;0;0;female;Resident;1;1;2,615;4,75
R2537;0;1;1;1;0;male;Resident;2;1,333333333;3,563333333;5,133333333
R2571;0;0;0;1;0;female;Resident;4;4;1,84;4,5
R2633;0;1;1;1;1;male;Resident;1;1;3,76;5,375
R2655;1;1;1;1;1;male;Floater;3;2;3,524;5,183333333
R2656;1;1;0;0;0;female;Resident;1;1;3,775;5,15
R2657;1;0;1;0;0;female;Floater;1;1;3,21;5,1
R2659;1;1;1;0;1;female;Floater;1;1;3,335;4,95
R2661;0;1;0;0;0;male;Resident;2;2;3,03;5
R2664;0;1;1;1;1;female;Floater;1;1;3,78;5,3
R2700;0;0;1;0;0;male;Floater;3;3;2,82;5,05
R2702;0;1;0;0;0;male;Resident;1;1;4,04;5,1
R2712;1;0;0;0;0;male;Resident;2;2;3,78;5,2
R2720;0;1;0;0;0;male;Resident;2;2;3,25;5
R2727;0;0;0;1;1;male;Floater;4;2,5;2,605;4,8
R2776;1;0;1;0;0;male;Resident;2;1,5;3,67;5,35
R4500;0;0;0;1;1;male;Resident;2;2;3,116666667;5
R6220;0;0;0;0;1;female;Resident;1;1;2,98;5
R7003;0;1;0;0;0;female;Resident;1;1;2,5;5,1
R700S;1;1;0;0;0;female;Resident;2;1,5;3,34;4,95
R700X;0;0;0;1;1;female;Floater;2;2;2,995;4,9
R7518;0;1;1;0;0;male;Floater;1;1;3,35;4,9
R9000;0;1;1;0;0;female;Floater;4;3,5;3,035;5,2
R9509;0;1;1;1;1;male;Floater;3;1,5;3,54;5,125
R9709;0;1;1;0;0;female;Resident;2;1,5;3,17;5,35
RH000;0;1;0;0;0;female;Resident;1;1;2,63;4,8
RS242;0;0;1;0;0;female;Floater;3;3;3,07;5,1
