Gewaesser;1;2;3
1;0;3;3
2;0;3;3
3;0;0;0
4;0;3;3
5;0;3;3
6;0;3;3
7;0;3;0
8;0;3;3
9;0;3;3
10;0;0;0
11;0;0;0
12;0;0;0
13;0;3;3
14;0;3;0
15;0;0;0
41;0;0;0
42;0;0;0
43;0;0;0
47;0;0;0
49;0;0;0
50;0;0;0
51;0;0;0
52;0;0;0
53;0;0;0
54;0;0;0
55;0;0;0
3b;0;0;0
6a;0;0;0
7a;0;3;2
7bc;0;0;0
8a;0;3;3
PI;0;0;0
PII;0;0;0
PIIa;0;0;0
PIII;0;0;0
