Gewaesser;1;2;3
1;2;3;3
2;0;0;0
3;1;0;0
4;0;2;3
5;2;2;0
6;2;3;3
7;1;3;0
8;3;3;3
9;3;3;3
10;0;0;0
11;1;0;0
12;2;2;1
13;2;3;3
14;2;1;1
15;0;0;0
41;0;0;0
42;0;0;0
43;0;1;0
47;0;0;0
49;2;3;1
50;0;0;0
51;2;0;2
52;0;0;0
53;0;0;0
54;0;0;0
55;1;0;0
3b;0;0;0
6a;0;0;0
7a;3;3;0
7bc;0;0;0
8a;3;3;3
PI;3;3;3
PII;2;1;2
PIIa;1;1;0
PIII;0;2;0
